name	           RA         Dec       dist_Mpc	loglumK     
SexA               10:11:00.8 -04:41:34	1.45	 7.57
UGC05497           10:12:48.4 +64:06:27	3.73	 7.19
SexDSph            10:13:03.0 -01:36:52	0.09	 6.42
[CKT2009]d1014+68  10:14:55.8 +68:45:27	3.84	 6.12
[CKT2009]d1015+69  10:15:06.9 +69:02:15	4.07	 6.06
KUG1013+414       10:16:15.6 +41:09:59	11.12	 8.32
LVJ1017+2922      10:17:26.5 +29:22:11	10.05	 7.67
NGC3184            10:18:17.0 +41:25:28	11.12	10.52
LVJ1018+4109      10:18:22.2 +41:09:57	11.10	 7.71
PGC30114           10:18:43.0 +46:02:44	11.32	 8.19
UGC05571           10:19:42.4 +52:03:56	8.24	 7.49
#HIJASSJ1021+6842  10:21:00.2 +68:42:00	3.70	   NaN  
HS117              10:21:25.2 +71:06:58	3.96	 6.72
LVJ1021+0054      10:21:38.9 +00:54:00	8.59	 7.21
LeoP               10:21:45.1 +18:05:17	1.73	 5.89
AGC731448          10:23:45.0 +27:06:39	9.73	 7.64
KKSG19             10:24:28.3 -12:25:57	6.21	 7.24
NGC3239            10:25:04.9 +17:09:49	10.17	 9.74
DDO078             10:26:27.9 +67:39:24	3.48	 7.48
UGC05672           10:28:20.9 +22:34:17	9.33	 8.63
IC2574             10:28:22.4 +68:24:58	3.93	 9.33
LVJ1028+4240      10:28:33.0 +42:40:08	10.28	 7.33
[CKT2009]d1028+70  10:28:39.7 +70:14:01	3.84	 7.01
AGC749315          10:29:06.4 +26:54:38	9.46	 6.60
DDO082             10:30:35.0 +70:37:10	3.93	 8.39
LVJ1030+0607      10:30:44.3 +06:07:38	7.80	 7.36
AGC205156          10:30:52.9 +12:26:48	10.43	 6.90
AGC731457          10:31:55.8 +28:01:33	10.52	 7.62
NGC3274            10:32:17.1 +27:40:07	7.98	 8.83
BK6N               10:34:31.9 +66:00:42	3.31	 7.25
UMaI              10:34:48.8 +51:56:06	0.10	 4.87
AGC202248          10:34:56.1 +11:29:32	22.18	 7.98
PGC2277751         10:35:12.1 +46:14:12	9.73	 7.30
ESO501-023         10:35:23.2 -24:45:15	7.00	 8.88
LeG03              10:35:48.8 +08:28:47	21.88	 8.16
KUG1033+366B      10:36:17.6 +36:25:31	11.91	 7.64
NGC3299            10:36:23.8 +12:42:27	10.40	 8.96
DDO083             10:36:43.3 +31:32:48	10.90	 8.03
AGC205165          10:37:04.8 +15:20:15	10.40	 7.79
dw1037+09          10:37:40.6 +09:06:20	10.42	 7.16
AGC200499          10:38:08.0 +10:22:51	25.12	 9.50
AGC208397          10:38:58.1 +03:52:27	10.20	 6.46
UGC05797           10:39:25.2 +01:43:07	10.42	 8.63
LeG04              10:39:40.2 +12:44:06	10.40	 6.85
LeG05              10:39:43.3 +12:38:04	10.40	 7.62
LeG06              10:39:55.7 +13:54:28	10.40	 7.03
AGC208399          10:40:10.7 +04:54:32	10.10	 6.51
UGC05812           10:40:56.6 +12:28:19	10.40	 8.23
[CKT2009]d1041+70  10:41:16.8 +70:09:03	3.70	 6.36
FS04               10:42:00.3 +12:20:06	10.40	 8.15
LeG09              10:42:34.6 +12:09:02	10.19	 7.61
DDO084             10:42:41.9 +34:26:56	9.95	 8.84
N3344dw1           10:42:44.0 +25:01:30	9.82	 6.29
AGC205268          10:42:52.4 +13:44:28	16.90	 7.80
ESO376-016         10:43:27.1 -37:02:33	6.92	 7.82
NGC3344            10:43:30.2 +24:55:25	9.82	10.33
LeG10              10:43:55.4 +12:08:07	10.40	 6.65
NGC3351            10:43:57.7 +11:42:13	9.95	10.65
LeG11              10:44:02.1 +15:35:20	10.40	 6.82
LeG12              10:44:07.8 +11:31:59	10.40	 6.94
dw1044+11          10:44:32.7 +11:16:10	10.42	 6.49
AGC205445          10:44:35.3 +13:56:23	10.40	 8.48
LeG13              10:44:57.6 +11:54:58	10.40	 7.35
dw1045+14a         10:45:00.9 +14:06:19	10.42	 6.61
dw1045+14b         10:45:56.0 +14:13:37	10.42	 6.33
dw1045+16          10:45:56.5 +16:55:00	10.42	 7.51
dw1045+13          10:45:58.1 +13:32:52	10.42	 7.40
LeG14              10:46:14.4 +12:57:36	10.00	 7.51
KK93               10:46:24.8 +14:01:30	9.51	 7.76
LeG16              10:46:30.0 +11:45:21	10.40	 7.43
LeG17              10:46:41.5 +12:19:35	10.40	 8.23
NGC3368            10:46:45.8 +11:49:11	10.42	10.83
LeG18              10:46:53.3 +12:44:40	10.19	 6.75
LeG19              10:46:54.8 +12:47:17	10.40	 7.91
KK94               10:46:57.3 +12:59:54	10.19	 7.32
dw1047+16          10:47:00.3 +16:08:50	10.42	 7.01
LeG21              10:47:00.8 +12:57:35	10.40	 6.90
NGC3368dwTBG       10:47:08.0 +11:17:02	10.40	 6.83
M96-DF7            10:47:13.5 +12:48:09	10.19	 7.44
DDO088             10:47:22.3 +14:04:13	7.73	 8.33
M96-DF2            10:47:40.6 +12:02:56	10.62	 7.32
ESO318-013         10:47:41.9 -38:51:15	6.92	 8.18
NGC3377            10:47:42.4 +13:59:08	10.42	10.38
BST1047+1156       10:47:43.8 +11:56:01	10.40	 6.31
NGC3379            10:47:49.6 +12:34:54	11.32	10.92
M96-DF1            10:48:13.1 +11:58:06	10.42	 7.11
NGC3384            10:48:16.9 +12:37:45	9.42	10.56
dw1048+13          10:48:35.8 +13:03:36	10.62	 7.01
PGC032348          10:48:53.7 +14:07:28	10.40	 8.62
UGC05923           10:49:07.6 +06:55:02	20.30	 9.35
dw1049+12a         10:49:11.4 +12:47:34	10.42	 6.49
dw1049+15          10:49:13.9 +15:58:22	10.42	 6.81
Willman1           10:49:21.0 +51:03:00	0.04	 3.72
dw1049+12b         10:49:26.0 +12:33:09	10.81	 7.34
DDO087             10:49:36.5 +65:31:50	8.51	 8.43
LeG22              10:49:37.1 +11:21:06	10.40	 7.14
MRK1265            10:49:40.4 +22:50:19	7.76	 7.27
AGC740112          10:49:55.4 +23:04:06	9.91	 7.89
LeG23              10:50:09.1 +13:29:01	10.40	 6.70
UGC05944           10:50:19.1 +13:16:19	11.07	 8.60
KK96               10:50:27.1 +12:21:39	10.00	 7.68
NGC3412            10:50:53.3 +13:24:44	11.32	10.36
dw1051+11          10:51:03.0 +11:01:13	10.42	 7.79
NGC3413            10:51:20.7 +32:45:59	12.02	 9.34
LeG26              10:51:21.1 +12:50:57	10.40	 8.27
AGC205540          10:51:31.4 +14:06:53	10.40	 7.14
KKH65              10:51:59.1 +28:21:45	10.00	 8.02
AGC205544          10:52:04.8 +15:01:50	10.40	 8.18
LVJ1052+3628      10:52:05.5 +36:28:36	9.20	 7.04
UGC05983           10:52:17.5 +36:35:36	9.20	 7.80
AGC202456          10:52:19.5 +11:02:36	10.40	 8.55
LeG27              10:52:20.1 +14:42:26	10.40	 7.58
NGC3432            10:52:31.1 +36:37:08	9.20	 9.64
LVJ1052+3639      10:52:40.8 +36:39:54	9.20	 7.88
KDG073             10:52:57.1 +69:32:45	3.91	 6.60
LeG28              10:53:00.7 +10:22:45	10.40	 7.01
UGC06014           10:53:42.7 +09:43:41	16.98	 8.78
dw1055+11          10:55:43.0 +11:58:05	10.42	 7.86
LSBCD640-12       10:55:57.1 +12:20:20	10.40	 6.96
LSBCD640-13       10:56:14.0 +12:00:37	10.40	 7.56
HS1053+3624        10:56:40.4 +36:08:28	9.20	 7.11
ESO215-009         10:57:30.2 -48:10:44	5.47	 7.78
VV747              10:57:47.0 +36:15:39	9.20	 8.02
CGCG095-078       10:58:02.2 +19:30:19	11.70	 8.19
LSBCD640-14       10:58:10.5 +11:59:57	10.40	 7.61
AGC205278          10:58:52.1 +14:07:46	11.80	 7.51
dw1059+11          10:59:51.1 +11:25:38	10.42	 6.63
NGC3489            11:00:18.6 +13:54:04	12.08	10.53
LeG33              11:00:45.2 +14:10:20	10.40	 6.88
LSBCD640-08       11:00:52.1 +13:52:51	10.40	 8.23
dw1101+11          11:01:21.8 +11:45:12	10.42	 6.43
SMDG1103517+284120 11:03:51.7 +28:41:20	8.51	 6.86
CGCG066-109       11:04:26.5 +11:45:18	10.30	 7.82
KKSG20             11:04:40.6 +00:03:30	10.70	 7.37
MRK0036            11:04:58.5 +29:08:22	8.67	 7.59
UGC06145           11:05:35.0 -01:51:49	10.70	 7.83
NGC3521sat         11:05:40.7 +00:07:15	10.70	 8.62
NGC3521            11:05:48.6 -00:02:09	10.70	11.09
KKSG22             11:06:07.7 -01:26:55	10.70	 7.11
NGC3521dwTBG       11:07:13.1 -00:11:15	10.70	 7.28
NGC3556            11:11:31.0 +55:40:26	9.90	10.52
DDO092             11:13:26.1 +53:35:42	9.91	 8.02
LeoII              11:13:29.2 +22:09:17	0.25	 6.72
NGC3593            11:14:35.9 +12:49:07	10.80	10.43
AGC202256          11:14:45.0 +12:38:51	11.00	 7.69
AGC740666          11:15:21.4 +19:14:32	6.85	 7.15
IC2684             11:17:01.0 +13:05:59	10.30	 7.87
NGC3621            11:18:16.1 -32:48:42	6.64	10.34
AGC215354          11:19:15.9 +14:17:25	10.28	 7.36
PGC034671          11:19:48.6 +55:43:22	9.90	 7.67
NGC3627            11:20:15.0 +12:59:29	11.12	11.08
AGC213436          11:22:24.0 +12:58:46	10.30	 8.34
KKH67              11:23:03.5 +21:19:37	10.00	 7.63
IC2787             11:23:19.1 +13:37:47	10.30	 8.05
IC2791             11:23:37.6 +12:53:45	10.30	 7.56
UGC06456           11:28:00.6 +78:59:29	4.63	 7.66
AGC213091          11:29:34.6 +10:48:35	8.32	 6.76
KDG078             11:29:54.0 +52:24:14	9.90	 8.29
KKH68              11:30:53.3 +14:08:46	8.50	 7.06
LeoV               11:31:09.6 +02:13:12	0.18	 4.46
HIPASSJ1131-31    11:31:35.2 -31:40:20	6.70	 7.22
LeoIV              11:32:57.0 -00:32:00	0.16	 4.63
HIPASSJ1133-32    11:33:11.0 -32:57:43	5.60	 7.34
UGC06541           11:33:29.1 +49:14:17	4.23	 7.83
KKH69              11:34:53.3 +11:01:12	7.40	 6.99
NGC3738            11:35:48.6 +54:31:22	5.30	 8.92
NGC3741            11:36:06.4 +45:17:07	3.22	 7.43
Crater             11:36:15.8 -10:52:40	0.17	 5.05
ESO320-014         11:37:53.4 -39:13:14	6.00	 7.73
[KK98]108         11:40:03.6 +46:28:43	5.00	 6.60
UGC06757           11:46:59.1 +61:20:06	4.61	 7.12
KK109              11:47:11.2 +43:40:19	4.51	 6.35
DDO097             11:48:57.2 +23:50:16	13.74	 8.53
LVJ1149+1715      11:49:05.6 +17:15:21	5.86	 6.56
Crater2           11:49:14.4 -18:24:47	0.12	 5.82
#HIZOAJ1149-62     11:49:38.4 -62:11:02	4.5	       NaN
KKH73              11:50:06.4 +55:47:00	9.00	 7.26
DDO099             11:50:53.0 +38:52:50	2.65	 7.42
Grapes             11:52:05.6 +54:47:32	6.85	 6.54
PGC3401153         11:53:52.4 +51:29:38	9.12	 7.19
AGC215145          11:54:12.5 +12:26:06	8.20	 6.52
ESO379-007         11:54:43.0 -33:33:29	5.45	 7.35
UGC06881           11:54:44.7 +20:03:20	16.40	 8.38
PGC4561602         11:55:04.2 +28:20:53	5.42	 7.37
KDG81              11:55:14.3 +44:09:00	9.66	 7.80
MCG+05-28-046     11:55:22.5 +28:20:30	23.80	 8.51
KDG082             11:55:39.4 +31:31:10	16.60	 8.92
NGC3990            11:57:35.6 +55:27:31	10.30	 9.52
LVJ1157+56sat     11:57:52.9 +56:36:50	7.66	 5.73
LVJ1157+5638      11:57:54.2 +56:38:17	8.75	 7.33
LVJ1158+1535      11:58:40.4 +15:35:34	5.01	 6.47
BTS76              11:58:44.1 +27:35:06	12.59	 7.53
ESO572-034         11:58:58.1 -19:01:48	10.52	 8.76
VirgoI            12:00:09.6 -00:40:48	0.09	 3.03
KUG1157+315       12:00:16.2 +31:13:30	14.80	 8.50
LVJ1203+4739      12:03:00.0 +47:39:15	7.94	 7.20
LVJ1203+3257      12:03:10.9 +32:57:22	6.64	 7.35
NGC4068            12:04:02.4 +52:35:19	4.39	 8.30
NGC4080            12:04:51.8 +26:59:33	15.00	 9.36
ESO379-024         12:04:56.7 -35:44:35	3.48	 6.84
IC2992             12:05:15.9 +30:51:20	12.70	 8.55
KUG1202+286       12:05:23.3 +28:21:56	7.18	 7.76
PGC4310323         12:05:31.0 +31:04:34	6.43	 7.05
LVJ1205+2813      12:05:34.2 +28:13:56	19.50	 8.29
PGC4560429         12:06:33.5 +30:37:16	5.47	 7.22
MAPS1206+31        12:06:34.5 +31:20:33	6.43	 7.68
LVJ1207+3133      12:07:50.0 +31:33:08	12.02	 7.55
UGC07131           12:09:11.8 +30:54:24	16.80	 8.59
NGC4136            12:09:17.7 +29:55:39	6.67	 9.24
MCG+06-27-017     12:09:56.4 +36:26:07	4.85	 7.89
NGC4144            12:09:59.3 +46:27:26	6.89	 9.25
IC3023             12:10:01.7 +14:22:01	17.00	 8.64
N4258dwC           12:10:26.8 +46:44:49	7.66	 7.15
NGC4150            12:10:33.6 +30:24:06	13.74	10.00
NGC4163            12:12:08.9 +36:10:10	2.99	 7.92
[KK98]125         12:12:41.9 +68:55:38	8.00	 7.13
KK127              12:13:22.7 +29:55:18	17.30	 8.19
NGC4190            12:13:44.6 +36:38:00	2.83	 7.90
AGC732009          12:13:48.4 +29:57:32	16.50	 7.76
ESO321-014         12:13:49.6 -38:13:53	3.33	 7.29
UGC07242           12:14:07.4 +66:05:32	5.45	 7.92
VCC0114            12:14:35.2 +05:40:38	8.20	 7.64
KDG090             12:14:57.9 +36:13:08	2.98	 7.59
UGC7257            12:15:03.0 +35:57:31	12.42	 8.60
NGC4204            12:15:14.4 +20:39:31	8.00	 9.12
UGC07267           12:15:23.6 +51:21:00	12.90	 8.77
UGC07271           12:15:33.4 +43:26:03	18.60	 8.59
NGC4214            12:15:38.9 +36:19:39	2.88	 8.98
MCG+09-20-131     12:15:46.7 +52:23:15	4.61	 7.50
LVJ1215+4732      12:15:51.1 +47:32:56	11.70	 6.81
VCC0169            12:15:56.2 +09:38:57	9.40	 7.15
IC3077             12:15:56.3 +14:25:59	9.10	 8.16
M106edgeN4217      12:16:12.5 +47:08:04	7.70	 7.39
UGC07298           12:16:28.6 +52:13:38	4.19	 7.24
NGC4236            12:16:43.3 +69:27:56	4.41	 9.61
LVJ1217+4703      12:17:10.1 +47:03:49	13.80	 7.16
UGC07320           12:17:28.5 +44:48:41	9.20	 8.04
NGC4244            12:17:29.9 +37:48:27	4.31	 9.52
NGC4242            12:17:30.2 +45:37:10	7.90	 9.47
LVJ1217+3231      12:17:32.0 +32:31:57	12.59	 7.19
UGC7321            12:17:34.0 +22:32:25	17.20	 9.56
KKH78              12:17:44.5 +33:20:43	4.70	 6.54
NGC4248            12:17:49.9 +47:24:33	7.40	 8.82
LVJ1218+4655      12:18:11.1 +46:55:01	8.28	 7.49
AGC229053          12:18:15.5 +25:34:06	17.90	 7.65
KDG098             12:18:29.4 +28:38:45	9.00	 8.30
PGC4555586         12:18:31.5 +30:03:40	6.85	 7.85
IC3104             12:18:46.1 -79:43:34	2.36	 8.41
BTS116             12:18:57.3 +28:33:11	3.18	 7.60
NGC4258            12:18:57.5 +47:18:14	7.66	10.92
KK132              12:19:06.5 +47:43:51	7.31	 7.31
KDG101             12:19:09.1 +47:05:23	7.28	 8.41
PGC039646          12:19:15.6 +06:17:38	5.15	 7.44
KK133              12:19:32.8 +43:23:11	8.32	 7.04
KK134              12:19:33.8 +47:27:06	12.70	 8.39
KK135              12:19:34.7 +58:02:34	6.05	 6.58
d1219+4705         12:19:36.8 +47:05:33	12.47	 7.75
IC779             12:19:38.7 +29:53:00	16.67	 9.04
PGC213976          12:19:43.6 +29:39:32	6.31	 7.72
VCC0381            12:19:54.1 +06:39:57	16.50	 8.02
PGC39764           12:20:06.8 +29:16:51	16.07	11.01
[KKH2011]S11       12:20:30.1 +47:29:25	7.66	 6.55
NGC4288            12:20:38.1 +46:17:30	8.24	 8.63
KK136              12:20:40.6 +47:00:03	15.63	 8.37
#CVnHI              12:20:43.4 +46:12:33	7.66	   NaN 
VCC0429            12:20:43.9 +14:37:52	7.10	 7.13
KUG1218+387       12:20:54.9 +38:25:49	7.35	 7.86
d1220+4649         12:20:55.0 +46:49:45	7.90	 7.02
DDO120             12:21:15.0 +45:48:41	7.28	 8.73
PGC1853813         12:21:16.6 +29:02:21	6.67	 7.44
KDG104             12:21:27.9 +15:01:28	9.40	 7.50
HydraII           12:21:42.1 -31:59:07	0.13	 4.58
KDG105             12:21:43.0 +37:59:14	7.60	 7.37
UGC7427            12:21:55.0 +35:03:05	9.70	 7.89
NGC4308            12:21:56.9 +30:04:27	14.00	 9.36
KK138              12:21:58.4 +28:14:34	6.30	 6.41
KKSG27             12:22:05.7 -09:48:01	6.64	 6.88
GR34               12:22:07.6 +15:47:57	9.29	 7.85
PGC4323538         12:22:16.7 +30:53:24	6.31	 7.74
VCC0565            12:22:38.5 +06:00:52	9.60	 7.91
KK141              12:22:52.7 +33:49:43	7.11	 6.98
PGC40195           12:23:09.7 +29:20:59	6.00	 7.74
IC3247             12:23:14.0 +28:53:38	24.40	 9.26
BTS132             12:23:46.2 +47:39:32	7.40	 7.36
BTS133             12:24:07.6 +37:59:35	8.99	 7.05
PGC5059199         12:24:09.9 +26:13:52	2.70	 5.25
N4258dwB           12:24:10.9 +47:07:23	7.66	 7.42
UGC07485           12:24:22.2 +21:09:36	7.94	 8.12
IC3308             12:25:17.9 +26:42:53	12.80	 8.53
KK144              12:25:27.9 +28:28:57	6.00	 7.24
UGC07512           12:25:41.3 +02:09:32	11.86	 8.35
AGC749236          12:25:42.4 +26:48:36	15.10	 7.73
VCC0841            12:25:47.0 +14:57:07	7.90	 7.90
NGC4395            12:25:49.8 +33:32:46	4.76	 9.47
DDO123             12:26:08.1 +58:19:21	10.50	 8.62
UGCA281            12:26:16.0 +48:29:31	5.70	 7.82
IC3341             12:26:23.4 +27:44:44	11.64	 7.86
SBS1224+533       12:26:52.6 +53:06:19	6.28	 7.44
ComaI              12:26:58.4 +23:54:42	0.04	 4.24
DDO126             12:27:05.1 +37:08:33	4.97	 8.09
DDO125             12:27:41.8 +43:29:38	2.61	 8.06
UGC07584           12:28:02.9 +22:35:22	9.20	 7.74
KKH80              12:28:05.4 +22:17:27	6.14	 7.14
NGC4449            12:28:11.2 +44:05:40	4.27	 9.68
DDO127             12:28:28.5 +37:14:00	4.72	 7.64
UGC07596           12:28:33.9 +08:38:23	4.60	 7.65
UGC07605           12:28:39.0 +35:43:05	4.74	 7.71
NGC4455            12:28:44.1 +22:49:21	6.61	 8.74
DDO129             12:28:44.2 +43:13:27	8.90	 8.81
LVJ1228+4358      12:28:44.9 +43:58:18	4.07	 8.53
NGC4460            12:28:45.8 +44:51:52	9.59	 9.66
KK149              12:28:52.3 +42:10:40	8.51	 8.15
UGC07639           12:29:53.0 +47:31:48	7.14	 8.33
UGC07636           12:30:01.0 +07:55:46	5.20	 7.76
UGC07642           12:30:13.8 +02:37:30	10.00	 8.15
KK151              12:30:23.8 +42:54:05	8.20	 7.79
NGC4485            12:30:31.2 +41:42:00	8.91	 8.99
AGC229379          12:30:34.0 +23:12:20	6.40	 6.41
NGC4490            12:30:36.4 +41:38:37	8.91	10.28
AGC724906          12:30:56.0 +26:30:40	7.55	 7.09
CGCG014-054       12:31:03.8 +01:40:33	9.60	 8.01
MAPS1231+42        12:31:09.0 +42:05:39	8.91	 7.06
DDO131             12:31:58.6 +29:42:35	7.35	 7.90
UGC07678           12:32:00.4 +39:49:55	9.08	 8.24
ComaP             12:32:10.3 +20:25:24	10.90	 7.18
UGC07690           12:32:26.9 +42:42:15	8.91	 8.66
AGC229089          12:32:36.0 +33:13:25	6.73	 7.29
NGC4517            12:32:45.5 +00:06:54	8.36	10.27
UGC07699           12:32:48.0 +37:37:18	14.50	 9.19
DDO133             12:32:53.0 +31:32:21	4.88	 8.24
NGC4509            12:33:06.8 +32:05:30	10.10	 8.72
BTS142             12:33:07.4 +38:06:58	10.00	 6.90
KDG155             12:33:08.0 -00:31:59	8.11	 7.55
KK152              12:33:24.9 +33:21:05	9.77	 7.74
PGC041749          12:33:52.7 +39:37:33	8.24	 7.51
UGC7719            12:34:00.6 +39:01:10	9.20	 8.21
NGC4534            12:34:05.5 +35:31:06	9.80	 8.82
UGC07748           12:34:38.4 +68:20:25	8.70	 7.68
UGC7751            12:35:11.8 +41:03:39	7.90	 7.49
LVJ1235-1104      12:35:39.4 -11:04:02	10.00	 8.04
NGC4559            12:35:57.7 +27:57:35	8.91	10.20
UGC07774           12:36:22.5 +40:00:19	22.60	 9.60
VCC1675            12:36:35.0 +08:03:17	7.50	 8.22
IC3583             12:36:43.5 +13:15:34	9.51	 8.80
MAPS1236+33        12:36:49.4 +33:36:48	7.45	 7.26
IC3591             12:37:03.0 +06:55:36	9.80	 8.66
dw1237-1125        12:37:11.6 -11:25:59	9.55	 7.57
AGC220847          12:37:14.0 +29:37:51	9.18	 7.72
KKSG29             12:37:14.1 -10:29:51	9.82	 7.67
Arp211             12:37:21.3 +38:44:43	6.14	 7.56
VCC1713            12:37:29.1 +04:45:05	7.20	 7.66
KKSG30             12:37:35.9 -08:52:02	9.10	 7.71
VCC1725            12:37:41.2 +08:33:33	8.50	 8.48
KKSG31             12:38:33.7 -10:29:25	9.55	 7.88
UGCA292            12:38:40.0 +32:46:00	3.85	 6.79
N4594DW1           12:39:15.3 -11:43:08	9.42	 8.27
N4594-DGSAT-3      12:39:32.8 -11:13:38	9.55	 7.39
UGC07827           12:39:38.9 +44:49:15	8.50	 7.76
SombreroDwA       12:39:51.5 -11:20:29	9.55	 6.99
KKSG32             12:39:55.0 -11:44:48	9.55	 7.60
KDG177             12:39:58.5 +13:46:53	17.00	 8.22
NGC4594            12:39:59.1 -11:37:23	9.55	11.32
NGC4605            12:40:00.3 +61:36:29	5.55	 9.70
AGC749241          12:40:01.7 +26:19:19	5.62	 6.46
dw1240-42          12:40:02.0 -42:24:44	3.60	 6.86
BTS146             12:40:02.1 +38:00:02	8.50	 7.14
SUCD1              12:40:03.1 -11:40:04	9.55	 7.39
KKSG33             12:40:08.9 -12:21:53	9.55	 7.59
dw1240-1118        12:40:09.4 -11:18:50	9.55	 8.53
KDG178             12:40:10.0 +32:39:31	7.30	 7.16
VCC1822            12:40:10.4 +06:50:49	8.10	 7.54
NGC4597            12:40:12.9 -05:47:57	10.10	 9.48
dw1240-1140        12:40:17.6 -11:40:46	9.55	 7.18
NGC4600            12:40:23.0 +03:07:04	9.29	 9.33
PGC4074723         12:40:29.9 +47:22:04	3.56	 6.11
HSC-9              12:40:53.0 +32:16:56	7.05	 7.07
NGC4631dw1        12:40:57.0 +32:47:33	7.40	 7.30
dw1241-1131        12:41:02.8 -11:31:44	9.55	 6.98
SombreroDwB       12:41:12.0 -11:53:33	9.55	 7.20
KKSG34             12:41:18.9 -11:55:39	9.55	 7.80
dw1241-32          12:41:27.0 -42:53:45	3.60	 6.41
NGC4618            12:41:32.8 +41:09:03	7.66	 9.62
AGC224291          12:41:39.2 +01:50:17	8.28	 7.63
LVJ1241+3251      12:41:47.3 +32:51:28	7.30	 7.45
NGC4625            12:41:52.7 +41:16:26	11.75	 9.56
NGC4627            12:41:59.7 +32:34:25	7.30	 9.50
NGC4631dw2        12:42:06.8 +32:37:15	7.40	 6.62
NGC4631            12:42:08.0 +32:32:29	7.35	10.49
N4625A             12:42:11.0 +41:15:10	7.90	 7.34
IC3687             12:42:15.1 +38:30:07	4.57	 8.19
HSC-10             12:42:31.4 +31:58:09	7.05	 6.83
PGC042730          12:42:48.9 -12:23:27	9.55	 8.72
NGC4631dw3        12:42:52.5 +32:27:35	7.40	 6.84
PGC42772           12:43:07.1 +32:29:27	8.02	 7.60
dw1243-42b         12:43:11.0 -42:26:37	3.60	 6.26
dw1243-42          12:43:13.0 -42:27:48	3.60	 6.68
BTS151             12:43:24.6 +32:28:56	7.35	 7.75
HSC-5              12:43:44.6 +32:32:04	11.00	 7.46
KDG192             12:43:45.0 +53:57:32	7.83	 7.42
LVJ1243+4127      12:43:55.7 +41:27:25	4.81	 6.77
KK160              12:43:57.4 +43:39:41	4.33	 6.60
NGC4656            12:43:57.6 +32:10:13	7.98	 9.93
NGC4656UV          12:44:15.7 +32:17:00	7.98	 8.88
[KK2000]51        12:44:21.5 -42:56:23	3.60	 6.60
DDO143             12:44:25.1 +34:23:11	9.10	 7.80
UGCA294            12:44:38.1 +28:28:21	9.90	 8.34
ESO381-018         12:44:42.7 -35:58:00	5.45	 7.39
IC3718             12:44:46.0 +12:21:05	6.80	 8.22
ESO381-020         12:46:00.4 -33:50:17	5.47	 7.95
AGC227970          12:46:01.4 +04:22:52	8.90	 7.79
VCC2033            12:46:04.5 +08:28:35	9.80	 8.32
VCC2037            12:46:15.3 +10:12:12	9.64	 7.94
UGCA298            12:46:55.4 +26:33:51	11.00	 8.43
UGC07950           12:46:56.4 +51:36:47	8.90	 8.36
DDO147             12:46:59.8 +36:28:35	3.01	 7.19
FGC1497            12:47:00.6 +32:39:05	23.40	 8.40
HIPASSJ1247-77    12:47:32.6 -77:35:01	3.47	 7.10
NGC4688            12:47:46.5 +04:20:10	6.70	 8.50
KK164              12:47:59.6 +04:26:00	6.71	 7.85
NGC4707            12:48:22.9 +51:09:53	6.52	 8.25
DDO148             12:48:43.1 -05:15:14	9.00	 8.83
KK165              12:48:52.7 +31:58:13	7.98	 7.78
NGC4700            12:49:07.6 -11:24:41	7.30	 8.86
KK166              12:49:13.3 +35:36:45	4.39	 7.21
MAPS1249+44        12:49:31.0 +44:21:33	7.59	 7.20
LVJ1249+2155      12:49:36.9 +21:55:05	6.31	 6.92
UGC07983           12:49:47.0 +03:50:32	5.15	 7.27
UGC07990           12:50:27.2 +28:21:10	20.40	 8.53
NGC4736            12:50:53.5 +41:07:10	4.41	10.56
M94-Dw2            12:51:04.4 +41:38:10	4.70	 6.59
BTS157             12:51:13.3 +47:04:15	9.04	 7.22
KK167              12:51:44.4 +26:06:38	9.20	 7.64
IC3840             12:51:46.1 +21:44:07	5.97	 7.11
dw1251-40          12:51:56.0 -40:19:53	3.60	 6.26
dw1252-40          12:52:01.0 -40:21:55	3.60	 7.37
dw1252-43          12:52:25.0 -43:05:58	3.60	 6.30
NGC4765            12:53:14.4 +04:27:47	5.65	 8.49
PGC3272767         12:53:16.8 -05:18:13	5.08	 5.93
KKSG38             12:53:31.6 -05:55:40	10.40	 7.55
KKSG39             12:53:41.9 -06:05:02	6.80	 6.57
DDO153             12:53:57.5 -12:06:31	8.00	 8.31
DDO154             12:54:05.2 +27:08:55	4.04	 7.59
UGC08030           12:54:29.4 +26:18:18	15.30	 8.00
ESO443-009         12:54:53.6 -28:20:27	5.97	 7.11
dw1255+40          12:55:02.0 +40:35:24	4.10	 6.75
KDG215             12:55:40.5 +19:12:33	4.83	 6.90
ESO219-010         12:56:09.6 -50:08:38	4.29	 8.03
KDG216             12:56:25.0 +15:05:09	6.00	 7.78
UGC08061           12:56:43.4 +11:55:52	12.59	 8.12
NGC4826            12:56:44.2 +21:41:05	4.41	10.49
CVnII              12:57:10.0 +34:19:15	0.16	 4.59
dw1257-41          12:57:45.0 -41:22:52	3.60	 7.13
MCG-02-33-075      12:58:28.3 -10:34:37	8.70	 8.48
dw1258-37          12:58:29.0 -37:07:21	3.60	 6.52
GR8                12:58:40.4 +14:13:03	2.19	 6.84
HIPASSJ1258-04    12:58:49.6 -04:53:19	6.50	 7.82
NGC4861            12:59:02.0 +34:51:37	9.95	 9.13
KK176              12:59:56.3 -19:24:47	7.28	 7.44
UGC08105           12:59:58.1 +02:02:58	9.99	 7.99
PGC1059300         13:00:00.3 -04:21:38	3.65	 6.69
